Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,1,1,33,9,NOTHING,false,0,0,0,0,1,,,0,0,4
6,1,1,42,9,NOTHING,false,0,0,0,0,1,,,1,0,8
7,1,1,51,9,NOTHING,false,0,0,0,0,1,,,1,0,8
8,1,2,59,9,TURNING_RIGHT,false,0,0,0,0,2,,,1,0,12
9,1,2,68,9,NOTHING,false,0,0,0,0,2,,,1,0,12
10,1,2,77,9,NOTHING,false,0,0,0,0,2,,,1,0,12
11,1,2,86,9,NOTHING,false,0,0,0,0,2,,,1,0,12
12,1,2,95,9,NOTHING,false,0,0,0,0,2,,,1,0,12
13,1,2,104,9,NOTHING,false,0,0,0,0,2,,,1,0,12
14,1,1,112,9,TURNING_LEFT,false,0,0,0,0,2,,,1,0,12
15,1,1,121,9,NOTHING,false,0,0,0,0,2,,,1,0,12
16,1,1,130,9,NOTHING,false,0,0,0,0,2,,,1,0,12
17,1,1,139,9,NOTHING,false,0,0,1,0,2,,,1,0,16
18,1,1,147,8,HIT_MUD,false,0,1,1,0,2,,,1,0,13
19,1,1,156,9,ACCELERATING,false,0,1,2,0,2,,,1,1,21
20,1,1,165,9,NOTHING,false,0,1,2,0,2,,,1,1,21
21,1,1,174,9,NOTHING,false,0,1,2,0,2,,,1,1,21
22,1,1,182,8,HIT_MUD,false,0,2,2,0,2,,,1,1,18
23,1,1,189,6,HIT_MUD,false,0,3,2,0,2,,,1,1,15
24,1,2,194,6,TURNING_RIGHT,false,0,3,2,0,3,,,1,1,19
25,1,2,200,6,ACCELERATING,false,0,3,2,0,3,,,1,2,23
26,1,2,206,6,ACCELERATING,false,0,3,2,0,3,,,1,2,23
27,1,2,212,6,ACCELERATING,false,0,3,2,0,3,,,1,2,23
28,1,2,218,6,ACCELERATING,false,0,3,2,0,3,,,1,2,23
29,1,2,224,6,ACCELERATING,false,0,3,2,0,3,,,1,2,23
30,1,2,230,6,ACCELERATING,false,0,3,2,0,3,,,1,3,27
31,1,2,236,6,ACCELERATING,false,0,3,2,0,3,,,1,3,27
