Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,1,0,1,,,0,0,8
4,2,4,30,15,USED_BOOST,true,5,0,0,0,2,,,0,0,16
5,2,4,45,15,USED_LIZARD,true,4,0,0,0,1,,,0,0,16
6,2,4,60,9,HIT_MUD,false,0,1,0,0,1,,,1,0,17
7,2,4,69,9,USED_LIZARD,false,0,1,0,0,0,,,1,0,17
8,2,4,78,9,ACCELERATING,false,0,1,0,1,0,,,1,1,25
9,2,4,87,9,USED_OIL,false,0,1,0,0,0,,,1,1,29
10,2,4,96,3,HIT_WALL,false,0,4,0,0,0,,,1,0,25
11,2,4,99,3,ACCELERATING,false,0,4,0,1,0,,,2,0,33
12,2,4,102,3,ACCELERATING,false,0,4,0,1,0,,,2,0,33
13,2,4,105,3,ACCELERATING,false,0,4,0,1,0,,,2,0,33
14,2,4,108,3,ACCELERATING,false,0,4,0,1,1,,,2,0,37
15,2,4,111,3,ACCELERATING,false,0,4,0,1,1,,,2,0,37
16,2,4,114,3,ACCELERATING,false,0,4,0,2,1,,,2,0,41
17,2,4,117,0,HIT_MUD,false,0,5,0,2,1,,,2,0,38
18,2,4,117,0,FIXED_CAR,false,0,3,0,2,1,,,2,0,38
19,2,4,120,3,ACCELERATING,false,0,3,0,2,1,,,2,0,38
20,2,4,126,6,ACCELERATING,false,0,3,0,2,1,,,2,0,38
21,2,4,132,6,ACCELERATING,false,0,3,0,2,1,,,2,0,38
22,2,4,138,6,ACCELERATING,false,0,3,0,3,1,,,2,0,42
23,2,4,144,6,USED_LIZARD,false,0,3,0,3,0,,,2,0,42
24,2,4,150,6,ACCELERATING,false,0,3,1,3,0,,,2,0,46
25,2,4,156,3,HIT_MUD,false,0,4,0,3,0,,,2,0,47
26,2,4,159,3,ACCELERATING,false,0,4,0,3,0,,,3,0,51
27,2,4,162,0,HIT_MUD,false,0,5,0,3,0,,,3,0,48
28,2,4,162,0,FIXED_CAR,false,0,3,0,3,0,,,3,0,48
29,2,4,165,3,ACCELERATING,false,0,3,0,3,0,,,3,0,48
30,2,4,171,6,ACCELERATING,false,0,3,0,3,0,,,3,1,52
31,2,4,177,6,ACCELERATING,false,0,3,0,3,0,,,3,1,52
32,2,4,183,6,ACCELERATING,false,0,3,0,3,0,,,3,1,52
33,2,4,189,6,ACCELERATING,false,0,3,0,3,0,,,3,1,52
34,2,4,195,6,ACCELERATING,false,0,3,0,3,0,,,3,1,52
35,2,4,201,6,ACCELERATING,false,0,3,0,3,0,,,3,1,52
36,2,4,207,6,ACCELERATING,false,0,3,0,3,0,,,4,1,56
37,2,4,213,6,ACCELERATING,false,0,3,0,3,0,,,4,1,56
38,2,4,219,3,HIT_MUD,false,0,4,0,3,0,,,4,1,53
39,2,4,222,3,ACCELERATING,false,0,4,0,3,0,,,4,1,53
40,2,4,225,3,ACCELERATING,false,0,4,0,3,0,,,4,1,53
41,2,4,228,3,ACCELERATING,false,0,4,0,3,0,,,4,1,53
42,2,4,231,3,ACCELERATING,false,0,4,0,3,0,,,4,1,53
43,2,4,234,3,ACCELERATING,false,0,4,0,3,0,,,4,1,53
44,2,4,237,0,HIT_MUD,false,0,5,0,3,0,,,4,1,50
45,2,4,237,0,FIXED_CAR,false,0,3,0,3,0,,,4,1,50
46,2,4,240,3,ACCELERATING,false,0,3,0,3,0,,,4,1,50
47,2,4,246,6,ACCELERATING,false,0,3,0,3,0,,,4,1,50
48,2,4,252,6,ACCELERATING,false,0,3,0,4,0,,,4,1,54
49,2,4,258,3,HIT_MUD,false,0,4,0,4,0,,,4,1,51
50,2,4,261,3,ACCELERATING,false,0,4,0,4,0,,,4,1,51
51,2,4,264,3,ACCELERATING,false,0,4,0,4,0,,,4,1,51
52,2,4,267,3,ACCELERATING,false,0,4,0,4,0,,,4,1,51
53,2,4,270,3,ACCELERATING,false,0,4,0,4,0,,,4,1,51
54,2,4,273,3,ACCELERATING,false,0,4,0,4,0,,,4,1,51
55,2,4,276,3,ACCELERATING,false,0,4,0,5,0,,,4,1,55
56,2,4,279,3,ACCELERATING,false,0,4,0,5,0,,,4,1,55
57,2,4,282,3,ACCELERATING,false,0,4,0,5,0,,,4,1,55
58,2,4,285,3,ACCELERATING,false,0,4,1,5,0,,,4,1,59
59,2,4,288,3,ACCELERATING,false,0,4,1,6,0,,,4,1,63
60,2,4,291,3,ACCELERATING,false,0,4,1,7,0,,,4,1,67
61,2,4,294,3,ACCELERATING,false,0,4,1,7,0,,,4,1,67
62,2,4,297,0,HIT_MUD,false,0,5,1,7,0,,,4,1,64
63,2,4,297,0,FIXED_CAR,false,0,3,1,7,0,,,4,1,64
64,2,4,300,3,ACCELERATING,false,0,3,1,7,0,,,4,1,64
65,2,4,306,6,ACCELERATING,false,0,3,1,7,0,,,4,1,64
66,2,4,312,3,HIT_MUD,false,0,4,0,7,0,,,4,1,65
67,2,4,315,0,HIT_MUD,false,0,5,0,7,0,,,4,1,62
68,2,4,315,0,FIXED_CAR,false,0,3,0,7,0,,,4,1,62
69,2,4,318,3,ACCELERATING,false,0,3,0,7,0,,,4,1,62
70,2,4,324,3,HIT_MUD,false,0,4,0,7,0,,,4,1,59
71,2,4,327,3,ACCELERATING,false,0,4,0,7,0,,,4,1,59
72,2,4,330,0,HIT_MUD,false,0,5,0,7,0,,,4,1,56
73,2,4,330,0,FIXED_CAR,false,0,3,0,7,0,,,4,1,56
74,2,4,333,3,ACCELERATING,false,0,3,0,7,0,,,4,1,56
75,2,4,339,3,HIT_MUD,false,0,4,0,7,0,,,4,1,53
76,2,4,342,0,HIT_MUD,false,0,5,0,7,0,,,4,1,50
77,2,4,342,0,FIXED_CAR,false,0,3,0,7,0,,,4,1,50
78,2,4,345,3,ACCELERATING,false,0,3,0,7,0,,,5,1,54
79,2,4,351,6,ACCELERATING,false,0,3,0,7,0,,,5,1,54
80,2,4,357,6,ACCELERATING,false,0,3,0,7,0,,,5,1,54
81,2,4,363,3,HIT_MUD,false,0,4,0,8,0,,,5,1,55
82,2,4,366,3,ACCELERATING,false,0,4,0,8,0,,,5,1,55
83,2,4,369,3,ACCELERATING,false,0,4,0,8,0,,,5,1,55
84,2,4,372,3,ACCELERATING,false,0,4,0,8,1,,,5,1,59
85,2,4,375,3,ACCELERATING,false,0,4,0,8,1,,,5,1,59
86,2,4,378,3,ACCELERATING,false,0,4,0,8,1,,,5,1,59
87,2,4,381,3,ACCELERATING,false,0,4,0,8,1,,,5,1,59
88,2,4,384,0,HIT_MUD,false,0,5,0,8,1,,,5,1,56
89,2,4,384,0,FIXED_CAR,false,0,3,0,8,1,,,5,1,56
90,2,4,387,3,ACCELERATING,false,0,3,0,9,1,,,5,1,60
91,2,4,393,3,HIT_MUD,false,0,4,0,9,1,,,5,1,57
92,2,4,396,3,ACCELERATING,false,0,4,0,9,1,,,5,1,57
93,2,4,399,0,HIT_MUD,false,0,5,0,9,1,,,5,1,54
94,2,4,399,0,FIXED_CAR,false,0,3,0,9,1,,,5,1,54
95,2,4,402,3,ACCELERATING,false,0,3,0,9,1,,,5,1,54
96,2,4,408,0,HIT_MUD,false,0,5,1,9,1,,,5,1,52
97,2,4,408,0,FIXED_CAR,false,0,3,1,9,1,,,5,1,52
98,2,4,411,3,ACCELERATING,false,0,3,1,9,1,,,5,1,52
99,2,4,417,3,HIT_MUD,false,0,4,1,9,1,,,5,1,49
100,2,4,420,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
101,2,4,423,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
102,2,4,426,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
103,2,4,429,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
104,2,4,432,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
105,2,4,435,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
106,2,4,438,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
107,2,4,441,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
108,2,4,444,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
109,2,4,447,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
110,2,4,450,3,ACCELERATING,false,0,4,1,9,1,,,5,1,49
111,2,4,453,3,ACCELERATING,false,0,4,2,9,1,,,5,1,53
112,2,4,456,3,ACCELERATING,false,0,4,2,9,1,,,5,1,53
113,2,4,459,0,HIT_MUD,false,0,5,2,9,1,,,5,1,50
114,2,4,459,0,FIXED_CAR,false,0,3,2,9,1,,,5,1,50
115,2,4,462,3,ACCELERATING,false,0,3,2,9,2,,,5,1,54
116,2,4,468,6,ACCELERATING,false,0,3,2,9,2,,,5,1,54
117,2,4,474,6,USED_BOOST,true,5,3,1,9,2,,,5,2,62
118,2,4,480,6,USED_BOOST,true,5,3,0,9,2,,,5,2,66
119,2,4,486,0,HIT_WALL,false,0,5,0,9,2,,,5,2,61
120,2,4,486,0,FIXED_CAR,false,0,3,0,9,2,,,5,2,61
121,2,4,489,3,ACCELERATING,false,0,3,0,9,2,,,6,2,65
122,2,4,495,6,ACCELERATING,false,0,3,0,9,2,,,6,2,65
123,2,4,501,6,USED_LIZARD,false,0,3,0,9,1,,,6,2,65
124,2,4,507,6,USED_LIZARD,false,0,3,0,9,0,,,6,2,65
125,2,4,513,0,HIT_MUD,false,0,5,0,9,0,,,6,2,59
126,2,4,513,0,FIXED_CAR,false,0,3,0,9,0,,,6,2,59
127,2,4,516,3,HIT_MUD,false,0,4,0,9,0,,,6,2,56
128,2,4,519,0,HIT_WALL,false,0,5,0,9,0,,,6,2,51
129,2,4,519,0,FIXED_CAR,false,0,3,0,9,0,,,6,2,51
130,2,4,522,3,ACCELERATING,false,0,3,0,9,0,,,6,2,51
131,2,4,528,6,ACCELERATING,false,0,3,0,9,0,,,6,2,51
132,2,4,534,3,HIT_MUD,false,0,4,0,9,0,,,6,2,48
133,2,4,537,3,ACCELERATING,false,0,4,0,9,0,,,6,2,48
134,2,4,540,3,ACCELERATING,false,0,4,0,9,0,,,6,2,48
135,2,4,543,3,ACCELERATING,false,0,4,0,9,0,,,6,2,48
136,2,4,546,3,ACCELERATING,false,0,4,0,9,0,,,6,2,48
137,2,4,549,3,ACCELERATING,false,0,4,0,9,0,,,6,2,48
